Title,Author,Gitenberg Status,Formatting Complexity,Formatting Notes,Gitenberg URL,Repo Cover,RTC 1st GEN,RTC 2nd GEN,RTC Other Gen,RTC Cover?,RTC Good Cover?,Need to Add to CAN Submit List,CAN REQUEST DATE,Notes,"Name in rtc/books.json, Official Name",ISBN 13,Tagged for ePUB gen Process (y/n)
Inferno,Dante Alighieri,ASCIIDOC,,,https://github.com/GITenberg/Divine-Comedy-Longfellow-s-Translation-Hell_1001,,,,X,YES,,,,,,,
Swann's Way,Marcel Proust,ASCIIDOC,,,https://github.com/GITenberg/Swann-s-Way_7178,,X,,,YES,,,,,Swann's Way,,
The Hunchback of Notre Dame,Victor Hugo,ASCIIDOC,,,https://github.com/GITenberg/The-Hunchback-of-Notre-Dame_6539,,X,,,YES,,,,,The Hunchback of Notre Dame,,
The Three Musketeers,Alexandre Dumas,ASCIIDOC,,,https://github.com/GITenberg/The-Three-Musketeers_1257,,X,,,YES,,,,,Three Musketeers,,
"Through the Looking-Glass, and What Alice Found There",Lewis Carroll,ASCIIDOC,,,https://github.com/GITenberg/Through-the-Looking-Glass_12,,X,,,YES,,,,,Through the Looking Glass,,
Winesburg Ohio,Sherwood Anderson,ASCIIDOC,,,https://github.com/GITenberg/Winesburg-Ohio--A-Group-of-Tales-of-Ohio-Small-Town-Life_416,,X,,,YES,,,,,"Winesburg, Ohio",,
My Antonia,Willa Cather,ASCIIDOC,,,https://github.com/GITenberg/My-Antonia_242,,,,X,YES,,,,,My Antonia,,
Bleak House,Charles Dickens,ASCIIDOC,,,https://github.com/GITenberg/Bleak-House_1023,,X,,,YES,,,7/7/2015,,Bleak House,,
North and South,Elizabeth Gaskell,ASCIIDOC,,,https://github.com/GITenberg/North-and-South_4276,,,,X,YES,,,,,,,
Gulliver's Travels,Jonathan Swift,ASCIIDOC,,,https://github.com/GITenberg/Gulliver-s-Travels_829,,X,,,YES,,,,,Gulliver's Travels,,
Les Miserables,Victor Hugo,ASCIIDOC,,,https://github.com/GITenberg/Les-Mis-rables_135,,X,,,YES,,,,,Les Miserables,,
The Count of Monte Cristo,Alexandre Dumas,ASCIIDOC,,,https://github.com/GITenberg/The-Count-of-Monte-Cristo_1184,,X,,,YES,,,,,The Count of Monte Cristo,,
War and Peace,Leo Tolstoy,ASCIIDOC,,,https://github.com/GITenberg/War-and-Peace_2600,,X,,,YES,,,,,War and Peace,,
Alice's Adventures in Wonderland,Lewis Carroll,ASCIIDOC,,,https://github.com/GITenberg/Alice-s-Adventures-in-Wonderland_11,,,X,,YES,,,7/7/2015,,,,
Around the World in 80 Days,Jules Verne,ASCIIDOC,,,https://github.com/GITenberg/Around-the-World-in-80-Days_103,,,X,,YES,,,7/7/2015,,,,
Dead Souls,Nikolai Gogol,ASCIIDOC,,,https://github.com/GITenberg/Dead-Souls_1081,,,,X,YES,,,7/7/2015,,,,
Great Expectations,Charles Dickens,ASCIIDOC,,,https://github.com/GITenberg/Great-Expectations_1400,,,,X,YES,,,7/7/2015,,,,
On the Origin of Species,Charles Darwin,ASCIIDOC,,,https://github.com/GITenberg/On-the-Origin-of-Species-By-Means-of-Natural-Selection--13-Or-the-Preservation-of-Favoured-Rac__1228,,,X,,YES,,,7/7/2015,,,,
Andersen's Fairy Tales,Hans Christian Andersen,ASCIIDOC,,,https://github.com/GITenberg/Andersen-s-Fairy-Tales_1597,,,X,,YES,,,,,,,
Paradise Lost,John Milton,ASCIIDOC,,,https://github.com/GITenberg/Paradise-Lost_20,,,X,,YES,,,,,,,
Twenty Thousand Leagues Under the Sea,Jules Verne,CHECK,,,https://github.com/GITenberg/Twenty-Thousand-Leagues-under-the-Sea_164,,X,,,YES,,,,,Twenty Thousand Leagues Under the Sea,,
The Works of Edgar Allan Poe,Edgar Allan Poe,HELD,,,https://github.com/GITenberg/The-Works-of-Edgar-Allan-Poe-The-Raven-EditionTable-Of-Contents-And-Index-Of-The-Five-Volumes_25525,,X,,,YES,,,,,The Works of Edgar Allan Poe,,
Jane Eyre,Charlotte Bronte,Needs Build,,,https://github.com/GITenberg/Jane-Eyre_1260,YES,X,,,YES,,,,,Jane Eyre,,
Moby-Dick,Herman Melville,Needs Build,,,https://github.com/GITenberg/Moby-Dick--Or-The-Whale_2701,YES,X,,,YES,,,,,Moby Dick,,
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,Needs Build,,,https://github.com/GITenberg/Narrative-of-the-Life-of-Frederick-Douglass-an-American-Slave_23,YES,,,X,YES,,,,,Narrative of the Life of Frederick Douglas,,
Pride and Prejudice,Jane Austen,Needs Build,,,https://github.com/GITenberg/Pride-and-Prejudice_1342,YES,X,,,YES,,,,,Pride and Prejudice,,
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Needs Build,,,https://github.com/GITenberg/The-Adventures-of-Sherlock-Holmes_1661,YES,X,,,YES,,,,,The Adventures of Sherlock Holmes,,
The Brothers Karamazov,Fyodor Dostoevsky,Needs Build,,,https://github.com/GITenberg/The-Brothers-Karamazov_28054,YES,X,,,YES,,,,,The Brothers Karamazov,,
Frankenstein,Mary Shelley,Needs Build,Medium,"Confusing Letter 1-4 before Chapter 1 (that are not exactly a preface). Plus lots of letters, which will require handcoding html to adjust properly. Also weird use of capitals in lieu of italics",https://github.com/GITenberg/Frankenstein_84,,X,,,YES,,,,,Frankenstein,,
